benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00648_202565e5,f16->f16,f16,f16,1344,3584,448,2157969408,RUN-FAIL,594,"gem5 rc=139, no stats.txt"
me_matmul_00480_43b47d1f,f16->f32,f16,f32,2304,640,1472,2170552320,PANIC,683,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00454_17193f69,f16->f32,f16,f32,1216,3136,576,2196504576,PANIC,502,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00152_c0c66e1e,f8E5M2->f32,f8E5M2,f32,1792,640,1920,2202009600,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00666_2a056e26,f16->f16,f16,f16,256,2880,3008,2217738240,PANIC,548,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00071_2cfcbae3,f8E5M2->f32,f8E5M2,f32,2176,256,4096,2281701376,RUN-FAIL,1533,"gem5 rc=1, no stats.txt"
me_matmul_00361_eb430b57,f16->f32,f16,f32,3264,256,2752,2299527168,PANIC,953,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00109_a2d97b05,f8E5M2->f32,f8E5M2,f32,2944,640,1280,2411724800,PANIC,742,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00461_a6615058,f16->f32,f16,f32,512,1600,2944,2411724800,PANIC,529,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00682_0344f129,f16->f16,f16,f16,3712,2560,256,2432696320,PANIC,560,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00450_5cf83525,f16->f32,f16,f32,2496,3968,256,2535456768,PANIC,558,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00548_d55aff45,f16->f16,f16,f16,3904,2560,256,2558525440,PANIC,514,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00128_61ef472a,f8E5M2->f32,f8E5M2,f32,896,1408,2048,2583691264,PANIC,522,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00196_309493bb,f8E5M2->f32,f8E5M2,f32,1792,384,3840,2642411520,PANIC,882,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00318_afdc0e66,f16->f32,f16,f32,256,3584,3008,2759852032,PANIC,701,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00327_a7a3457f,f16->f32,f16,f32,448,3264,1920,2807562240,PANIC,565,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00429_75b9e61a,f16->f32,f16,f32,3008,1216,768,2809135104,PANIC,561,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00250_e4aafc16,f8E5M2->f32,f8E5M2,f32,1792,512,3072,2818572288,PANIC,707,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00073_99abcdcf,f8E5M2->f32,f8E5M2,f32,3968,512,1408,2860515328,PANIC,683,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00644_0d666f63,f16->f16,f16,f16,1856,576,2688,2873622528,PANIC,668,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00005_067aae1d,f8E5M2->f32,f8E5M2,f32,256,2944,3840,2894069760,PANIC,594,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00217_7adfb67c,f8E5M2->f32,f8E5M2,f32,1408,1664,1280,2998927360,PANIC,662,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00674_623d905e,f16->f16,f16,f16,1536,1088,1856,3101687808,PANIC,572,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00147_bffd0ee9,f8E5M2->f32,f8E5M2,f32,1408,1152,1920,3114270720,PANIC,587,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00620_a4ed8583,f16->f16,f16,f16,1728,1408,1280,3114270720,PANIC,405,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00342_7936e8d3,f16->f32,f16,f32,3200,1088,896,3119513600,PANIC,635,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00616_cfbc7045,f16->f16,f16,f16,384,2496,3264,3128426496,PANIC,804,panic condition !handled && !tc->getSystemPtr()->trapToGdb
